arjuna de dappere strijder, arjuna,
billy en het reuzenavontuur, billy,
dagboek van de muts, dagboekMuts,
dogman (jav pilkey), dogman,
donald duck, donaldDuck,
de grijze jager (john flanagan), grijzeJager,
heksje lilly, heksjeLilly,
juf braaksel (carry slee), jufBraaksel,
julias zebra, juliasZebra,
kapitein onderbroek, kapiteinOnderbroek,
het kerstvarken (JK Rowling), kerstvarken,
kuifje, kuifje,
het leven van een loser, levenVanLoser,
het meisje dat de maan dronk, meisjeDatMaanDronk,
niek de groot, niekDeGroot,
paco rutger en thomas, paco,
pinokkio, pinokkio,
De regels van floor (marjon hofman), regelsVanFloor,
siddartha de buddha, siddartha,
spekkje en sproet boeken, spekkjeEnSproet,
tom de groot (liz pichon), tomDeGroot
tommie en latje, tommieEnLatje,
warrior cats (erin hunter), warriorCats,
wild van freek johan, wildVanFreek,
max moddermans,	maxModdermans,
de boomhut met 13 verdiepingen, boomhut13,
de boomhut met 130 verdiepingen, boomhut130,
de waanzinnige boomhut, waanzinnigeBoomhut,
spiderman,spiderman,
drukte om nix (Esther van Lieshout), drukteOmNix,
ponys in gevaar, ponysInGevaar,
groep achters huilen niet (Jacques Vriens),	groepAchters,
kippenvel, kippenvel,
laser game ( Maren Stoffels), laserGame,
help! een klas zonder meestere (Ilona de Lange), helpKlasZonderMeestere,
de mauzinge (bodem hutander),	mauzinge,
timboektoe,timboektoe,
hotel flamingo (alex milway),	hotelFlamingo,
wereldspionnen, wereldspionnen,
alblijven (carry slee), alblijven,
de zoete toevenaars het magische verbond, magischeVerbond,
gym roddels (Simone kortsmit), gymRoddels,
vlog vriendinnen lucy lotje rampoline (emma moss), vlogVriendinnen,
koraal de prinses fantasia (thea stilton), koraalprinses,
prutje, prutje,
the BFG, bfg,
dummie de mummie, dummieDeMummie,
felix de kat, felixDeKat,
de keuken prins van mocano,  keukenprins,
de verschrikkelijke badmeester, verschrikkelijkeBadmeester,
dolfje weerwolfje, dolfjeWeerwolfje,
op avontuur met oma(annemarie bon),avontuurMetOma,
bureau speurneus en de boekenmaffia (jouzou douglas), boekenmaffia,
chocolade tandarts tosca mentem, chocoladeTandarts,
sherlock holmes, sherlockHolmes,
toen het oorlog was, toenOorlog,
oliver twist, oliverTwist,
SOS red het bos (fleur hendrickx), 	redHetBos,
monsters zoo 3, monsterZoo3,
het ministerie van oplossingen, ministerieVanOplossingen,
het spook van de haviksburcht, spookVanDeHavicksburcht,
stinkhond in parijs, stinkhondInParijs,
de gruwelijke generaal, gruwelijkeGeneraal,
de geheime sleutel naar het heelal, geheimeSleutel,
atlas, atlas,
grimmie, grimmie,
broederband, broederband,
harry potter en de gevangene van azkaban, gevangeneVanAzkaban,
blockbusters deel 1 & 2,, 
costa banana 1tm 5,, 
Fiona Rempt â€“ Zooo Happy,, 
tosca menten,, 
het geheim van de verdwenen paard,,
blockbusters,, 
grap man,,
miljonairskind,, 
hartland,,
monster zoo,, 
de griezeltjes,,
griezel,, 
bender,, 
recept voor een ramp!,,
my life with the walter boys, walterBoys,
is er wifi in de ruimte (andree kuipers),,
mijn dikke vette zombie goudvis (mo ohora),,
hotel bominie,,
handboek voor superhelden,,
miljonairs kid,,
winteravondtuur te paard, ,
ferron is een echte vriend,,
de brief voor de koning, ,
vleugels van vuur,,
het struik meisje,,
hoe ik mijn vader redde,,
bunnie vs monkie 4, ,
de droom van sofia, ,
sjaakie en de chocoladefabriek,,
lotte wirwar,  ,
gorgels (jochem mijer),,
pech onderweg, ,
dagboek van kato,,
adams anatomie,,
starwars encyclopedie,,
paardenboeken,,
op het padje,,
een veulen voor rose, ,
de liefde van luna (christine linnewever), ,
de overwinning van ezin (christine linnewever),, 
het vuur van bjaka (christine linnewever),,
het verwarrende liefdesleven van lotie,,  
bunnie vs monkie 1, ,
bunnie vs monkie 2, ,
bunnie vs monkie 3,	,
gebroeders leeuwen hart,, 
wild van katien, ,
koning van katoren,,
lema lijstje,, 
de kleine kapitein,, 
zoektocht in katoren,, 		
harry potter 1,, 
prutje (pier koolwijk),, 
tafellijn,,
scheurbuik stormsz,,